region;probability;age M;daimeter km;webpage;longitude;latitude;height
Азия;Предполагаемый;~0.013 ?;420;http://labmpg.sscc.ru/a1317.html;58.26;44.68;0
Южная Америка;Предполагаемый;;8;http://labmpg.sscc.ru/a1019.html;-66.2570858;-17.437786;0
Азия;Предполагаемый;;0.07;http://labmpg.sscc.ru/a2860.html;44.2384511;39.7997704;0
Азия;Предполагаемый;1892y;0.8;http://labmpg.sscc.ru/a2191.html;44.254222;39.742176;0
Азия;Предполагаемый;1892y;0.6;http://labmpg.sscc.ru/a2191.html;44.247128;39.748703;0
Азия;Предполагаемый;;85;http://labmpg.sscc.ru/a2788.html;117.8338623;64.0577849;0
Азия;Достоверный;пермь / триас;20;http://labmpg.sscc.ru/a442.html;79.829138;46.460165;0
Азия;Предполагаемый;1925±75 (251);200;http://labmpg.sscc.ru/a2184.html;112.2;67.5;0
Южная Америка;Неустановленный;3;50;http://labmpg.sscc.ru/a933.html;-63.341608;4.287633;0
Южная Америка;Предполагаемый;Late Pleistocene to Holocene;0.185;http://labmpg.sscc.ru/a1650.html;-67.452839;-24.929202;0
Северная Америка;Предполагаемый;;;http://labmpg.sscc.ru/a2197.html;-110.961024;33.958973;0
Европа;Предполагаемый;;0.3;http://labmpg.sscc.ru/a2196.html;14.13989;45.414686;0
Индийский океан;Неустановленный;;;http://labmpg.sscc.ru/a1493.html;55.8;-19.1;0
Африка;Опровергнутый;<140;6.8;http://labmpg.sscc.ru/a263.html;23.7950134;22.0986827;0
Африка;Опровергнутый;<140;10;http://labmpg.sscc.ru/a263.html;23.7149334;22.045152;0
Африка;Опровергнутый;;~20;http://labmpg.sscc.ru/a1462.html;24.7;22.26;0
Африка;Опровергнутый;;15;http://labmpg.sscc.ru/a2192.html;24.981537;22.663019;0
Северный Ледовитый океан;Неустановленный;~0.013;5500;http://labmpg.sscc.ru/a533.html;-48;72.7;0
Австралия;Вероятный;1324;10;http://labmpg.sscc.ru/a376.html;135.67;-13.17;0
Южная Америка;Неустановленный;<0.1;1.5;http://labmpg.sscc.ru/a649.html;-59.49744;-28.73043;0
Азия;Предполагаемый;;35;http://labmpg.sscc.ru/a2668.html;42.2094727;41.299476;0
Европа;Предполагаемый;;105;http://labmpg.sscc.ru/a739.html;42.6379395;64.5389958;0
Европа;Предполагаемый;;80;http://labmpg.sscc.ru/a297.html;42.2149658;65.4901841;0
Европа;Предполагаемый;1;0.09;http://labmpg.sscc.ru/a282.html;46.371392;57.7921802;0
Азия;Достоверный;1.8;2;http://labmpg.sscc.ru/a459.html;41.3580322;43.4644448;0
Азия;Предполагаемый;< 165;2.5;http://labmpg.sscc.ru/a1910.html;45.6564;21.619794;0
Европа;Предполагаемый;AR-PR;460;http://labmpg.sscc.ru/a2951.html;52.82364;53.57844;0
Азия;Предполагаемый;;12;http://labmpg.sscc.ru/a1032.html;47.1407889;14.6806223;0
Азия;Предполагаемый;1822y;0.08;http://labmpg.sscc.ru/a1911.html;36.8436384;36.1504287;0
Тихий океан;Предполагаемый;;;http://labmpg.sscc.ru/a1494.html;-158.116951;-19.9956923;0
Центральная Америка;Предполагаемый;;80;http://labmpg.sscc.ru/a1929.html;-72.305984;17.526986;0
Европа;Неустановленный;0.0129 (-9600y. -8350y. -8498y. 0.012. -12000y);;http://labmpg.sscc.ru/a1741.html;-63.8;24.9;0
Атлантический океан;Неустановленный;-930y;;http://labmpg.sscc.ru/a2865.html;-75.3112793;22.6647098;0
Атлантический океан;Предполагаемый;1;5;http://labmpg.sscc.ru/a959.html;-9.884;44.3735;0
Атлантический океан;Предполагаемый;;150;http://labmpg.sscc.ru/a1068.html;-45;30;0
Европа;Предполагаемый;;;http://labmpg.sscc.ru/a1051.html;13.5461426;47.8726046;0
Северный Ледовитый океан;Предполагаемый;;10;http://labmpg.sscc.ru/a1099.html;-53.4265137;67.9875056;0
Центральная Америка;Предполагаемый;01.02.2010;0.03;http://labmpg.sscc.ru/a2195.html;-98.142878;20.0465608;0
Африка;Предполагаемый;;;http://labmpg.sscc.ru/a2893.html;40.0094604;6.2470462;0
Европа;Предполагаемый;;0.185;http://labmpg.sscc.ru/a268.html;24.5154333;54.6118207;0
Европа;Опровергнутый;;4.5;http://labmpg.sscc.ru/a650.html;23.3664608;62.0034028;0
Северная Америка;Достоверный;200±100;0.12;http://labmpg.sscc.ru/a1709.html;-87.647507;36.53344;0
Северная Америка;Предполагаемый;200±100;0.06;http://labmpg.sscc.ru/a2352.html;-87.689769;36.478681;0
Северная Америка;Предполагаемый;200±100;0.12;http://labmpg.sscc.ru/a2352.html;-87.685309;36.477791;0
Северная Америка;Предполагаемый;345;9;http://labmpg.sscc.ru/a874.html;-104.92836;48.9563263;0
Африка;Достоверный;3.1±0.3 K-Ar (0.46);0.37;http://labmpg.sscc.ru/a14.html;-12.674516;20.241169;0
Азия;Предполагаемый;;16;http://labmpg.sscc.ru/a1408.html;65.068999;35.013034;0
Азия;Предполагаемый;;22.5;http://labmpg.sscc.ru/a2526.html;65.1738;35.1105;0
Азия;Предполагаемый;;7;http://labmpg.sscc.ru/a2527.html;64.7047;34.9511;0
Азия;Предполагаемый;;48;http://labmpg.sscc.ru/a2528.html;65.35;34.877;0
Азия;Предполагаемый;;140;http://labmpg.sscc.ru/a2529.html;66.967;35.14;0
Азия;Предполагаемый;;72;http://labmpg.sscc.ru/a2530.html;65.15;35.81;0
Азия;Предполагаемый;;104;http://labmpg.sscc.ru/a2531.html;66.4;36.25;0
Азия;Предполагаемый;;174;http://labmpg.sscc.ru/a2532.html;67.2;36.52;0
Европа;Неустановленный;;;http://labmpg.sscc.ru/a1739.html;24.3272495;40.1582132;0
Африка;Предполагаемый;;1646;http://labmpg.sscc.ru/a2849.html;12.49;-17.53;0
Африка;Предполагаемый;-5000y (0.005);;http://labmpg.sscc.ru/a2894.html;7;23;0
Северная Америка;Предполагаемый;;0.9;http://labmpg.sscc.ru/a1197.html;-106.841513;32.133564;0
Африка;Предполагаемый;;0.63;http://labmpg.sscc.ru/a658.html;27.457964;23.242382;0
Европа;Предполагаемый;;8.2;http://labmpg.sscc.ru/a2708.html;55.9870148;54.2202849;0
Европа;Предполагаемый;;6.5;http://labmpg.sscc.ru/a2707.html;56.4093018;54.0960469;0
Азия;Неустановленный;;85;http://labmpg.sscc.ru/a2157.html;90.14;55.77;0
Северная Америка;Предполагаемый;15.02.2009!;;http://labmpg.sscc.ru/a1884.html;-97.009554;31.804564;0
Европа;Предполагаемый;верхнепермско-мезозойский;7.7;http://labmpg.sscc.ru/a2043.html;56.2039948;57.1056732;0
Европа;Предполагаемый;240-300;20;http://labmpg.sscc.ru/a1618.html;-1.503333;52.775;0
Азия;Предполагаемый;0.01;16;http://labmpg.sscc.ru/a555.html;123.57;38.508;0
Азия;Предполагаемый;;0.05;http://labmpg.sscc.ru/a2000.html;121.502263;17.49986;0
Азия;Неустановленный;;14;http://labmpg.sscc.ru/a2376.html;39.1434;23.383;0
Европа;Предполагаемый;;15;http://labmpg.sscc.ru/a654.html;17.0076942;58.9663843;0
Центральная Америка;Неустановленный;;50;http://labmpg.sscc.ru/a1495.html;-77.4646;24.397;0
Центральная Америка;Предполагаемый;251;70;http://labmpg.sscc.ru/a510.html;-76.896;23.6722;0
Азия;Вероятный;;0.2;http://labmpg.sscc.ru/a586.html;44.4899082;33.3637966;0
Европа;Предполагаемый;;56;http://labmpg.sscc.ru/a2738.html;8.3713;52.2797;0
Южная Америка;Предполагаемый;65-0.01;0.5;http://labmpg.sscc.ru/a882.html;-67.436213;-42.807843;0
Южная Америка;Предполагаемый;65-0.01;0.53;http://labmpg.sscc.ru/a2193.html;-67.489064;-42.80393;0
Южная Америка;Предполагаемый;65-0.01;0.4;http://labmpg.sscc.ru/a2193.html;-67.489529;-42.806897;0
Южная Америка;Предполагаемый;65-0.01;0.47;http://labmpg.sscc.ru/a2193.html;-67.504867;-42.804781;0
Южная Америка;Предполагаемый;65-0.01;0.58;http://labmpg.sscc.ru/a2193.html;-67.505136;-42.808152;0
Азия;Предполагаемый;2;15;http://labmpg.sscc.ru/a541.html;61.661134;35.667544;0
Азия;Предполагаемый;2;14;http://labmpg.sscc.ru/a541.html;61.802396;35.665037;0
Азия;Предполагаемый;2;13;http://labmpg.sscc.ru/a541.html;61.918748;35.697384;0
Южная Америка;Неустановленный;<10 (<25);3.657;http://labmpg.sscc.ru/a848.html;-67.924;-42.297;0
Южная Америка;Предполагаемый;5.28±0.04 (glass: 5.38±0.05 Ar);6;http://labmpg.sscc.ru/a2194.html;-62.211717;-38.695369;0
Азия;Предполагаемый;;0.6;http://labmpg.sscc.ru/a1157.html;109.182267;46.21128;0
Азия;Вероятный;KZ;0.48;http://labmpg.sscc.ru/a580.html;73.009178;46.998206;0
Азия;Вероятный;57;20;http://labmpg.sscc.ru/a600.html;67.772192;68.315674;0
Азия;Предполагаемый;1200 (1700);420;http://labmpg.sscc.ru/a2136.html;112.38751;56.976636;0
Азия;Предполагаемый;1985.1994.2009;4.4;http://labmpg.sscc.ru/a378.html;108.4;53.5;0
Азия;Достоверный;ср.-верх.плиоцен;170;http://labmpg.sscc.ru/a521.html;63.75;46.25;0
Азия;Предполагаемый;;90;http://labmpg.sscc.ru/a2500.html;65.4309;38.012;0
Азия;Предполагаемый;;20;http://labmpg.sscc.ru/a2502.html;66.19424;38.22034;0
Азия;Предполагаемый;;16;http://labmpg.sscc.ru/a2502.html;66.5173;38.32847;0
Азия;Предполагаемый;;24;http://labmpg.sscc.ru/a2499.html;67.2735;38.097;0
Азия;Предполагаемый;;6;http://labmpg.sscc.ru/a2498.html;67.0381;38.2627;0
Африка;Предполагаемый;;10;http://labmpg.sscc.ru/a1496.html;30.763612;18.916998;0
Азия;Предполагаемый;0.7;3.5;http://labmpg.sscc.ru/a351.html;109.508;19.183;0
Азия;Предполагаемый;;14;http://labmpg.sscc.ru/a1158.html;102.627259;46.688873;0
Азия;Предполагаемый;-10.000y;57;http://labmpg.sscc.ru/a466.html;115.9950256;38.9928716;0
Северная Америка;Неустановленный;;100;http://labmpg.sscc.ru/a1634.html;-121.9;48.8;0
Европа;Вероятный;3;23;http://labmpg.sscc.ru/a254.html;17.4737549;47.1584393;0
Азия;Предполагаемый;;17;http://labmpg.sscc.ru/a2666.html;49.8858262;40.3855203;0
Азия;Предполагаемый;;14;http://labmpg.sscc.ru/a2667.html;49.6842957;40.3538702;0
Азия;Предполагаемый;2003y;;http://labmpg.sscc.ru/a2200.html;86.7099796;20.4422856;0
Антарктида;Предполагаемый;40;;http://labmpg.sscc.ru/a1056.html;163.697987;-66.90991;0
Европа;Предполагаемый;;4.5;http://labmpg.sscc.ru/a1187.html;15.8477783;60.9524436;0
Азия;Предполагаемый;;2;http://labmpg.sscc.ru/a2201.html;77.788654;45.77766;0
Южная Америка;Предполагаемый;;7;http://labmpg.sscc.ru/a1074.html;-60.7885551;-15.6955991;0
Азия;Предполагаемый;450-470;12;http://labmpg.sscc.ru/a2171.html;37.6020813;29.120374;0
Европа;Предполагаемый;408;8.5;http://labmpg.sscc.ru/a2202.html;-1.5806372;52.0413318;0
Африка;Вероятный;< 620;150;http://labmpg.sscc.ru/a339.html;29.9113083;-11.458027;0
Африка;Предполагаемый;> 542;810;http://labmpg.sscc.ru/a421.html;18.7697983;4.6171489;0
Азия;Предполагаемый;;1.7;http://labmpg.sscc.ru/a306.html;77.981783;54.950697;0
Северная Америка;Предполагаемый;275;16;http://labmpg.sscc.ru/a827.html;-89.73;43.46;0
Африка;Предполагаемый;3260-3240 (3400);35;http://labmpg.sscc.ru/a448.html;30.968164;-25.703706;0
Южная Америка;Неустановленный;<14;1.5;http://labmpg.sscc.ru/a652.html;-69.881;-39.177;0
Европа;Предполагаемый;;1.4;http://labmpg.sscc.ru/a1415.html;8.871278;63.623167;0
Азия;Предполагаемый;PZ2 / PZ3;600;http://labmpg.sscc.ru/a1252.html;84;53;0
Австралия;Предполагаемый;30;25;http://labmpg.sscc.ru/a1046.html;138.9264107;-34.6285467;0
Австралия;Предполагаемый;1600-2500;4;http://labmpg.sscc.ru/a653.html;136.6549873;-16.7981321;0
Европа;Предполагаемый;;2.8;http://labmpg.sscc.ru/a559.html;47.593917;53.847699;0
Европа;Предполагаемый;;2.5;http://labmpg.sscc.ru/a559.html;47.475903;53.81309;0
