Location name;Year;Month;Day;Country;Focal Depth;EQ Primary;Flag Tsunami;Deaths;Injuries;Missing;Missing Description;Houses destroyed;Houses damaged;Damage (in M$);Damage Description;Lat;Lon;Height
MYANMAR (BURMA):  PAGAN;1975;07;08;MYANMAR (BURMA);157;6.5;;1;;;;;;1;MODERATE (~$1 to $5 million);21.49;94.7;0
IRAN:  NAGHAN,ARDAL,JAGHDAN,DASTGERD,KORDAN,SARMUR;1977;04;06;IRAN;41;5.9;;366;200;;;;;;MODERATE (~$1 to $5 million);31.98;50.68;0
SOLOMON ISLANDS;1977;04;21;SOLOMON ISLANDS;33;8.1;Tsunami;18;1;;;;;;SEVERE (~>$5 to $24 million);-9.965;160.731;0
ARGENTINA:  SAN JUAN PROVINCE:  MENDOZA;1977;11;23;ARGENTINA;13;7.4;;70;300;;;;;80;EXTREME (~$25 million or more);-31.03;-67.77;0
PAKISTAN:  QUETTA, NUSHKI;1978;03;16;PAKISTAN;33;5.9;;1;;;;;;;MODERATE (~$1 to $5 million);29.926;66.302;0
RUSSIA:  KURIL ISLANDS;1978;03;22;RUSSIA;33;6.7;Tsunami;;;;;;;;;44.026;149.002;0
INDONESIA:  CELEBES:  MINAHASSA:  TOLITOLI;1983;10;16;INDONESIA;40;6;;;;;;20;15;;MODERATE (~$1 to $5 million);1.084;121.052;0
INDONESIA:  SULAWESI:  W;1984;01;08;INDONESIA;33;6.6;Tsunami;2;89;;;;685;0.5;LIMITED (roughly corresponding to less than $1 million);-2.823;118.806;0
RUSSIA:  KURIL ISLANDS;1984;03;24;RUSSIA;44;7;Tsunami;;;;;;;;;44.117;148.192;0
CHILE:  VALPARAISO, VINA DEL MAR;1985;03;17;CHILE;33;6.6;;1;;;;;;;MODERATE (~$1 to $5 million);-32.663;-71.551;0
CHINA:  S XINJIANG:  WUQUA-SHUFU;1985;08;23;CHINA;7;7.5;;71;162;;;;;5;MODERATE (~$1 to $5 million);39.431;75.224;0
JAPAN:  HONSHU ISLAND;1987;03;24;JAPAN;23;5.1;Tsunami;;;;;;;;;37.447;137.865;0
CHILE:  ARICA, IQUIQUE;1987;08;08;CHILE;70;6.9;;5;112;;;1000;;1;MODERATE (~$1 to $5 million);-19.022;-69.991;0
CHILE:  ARICA / PERU:  AREQUIPA, TACNA;1987;08;13;PERU;37;6.4;;1;1;;;;;;LIMITED (roughly corresponding to less than $1 million);-17.897;-70.931;0
SUDAN:  JUBA, KAPENGURIA;1990;05;24;SUDAN;16;7;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);5.358;31.848;0
